height,weight,sex,smokes,activity,ran,pulse1,pulse2
66.00,140.00,male,no,medium,yes,64.00,88.00
72.00,145.00,male,no,medium,yes,58.00,70.00
73.50,160.00,male,yes,high,yes,62.00,76.00
73.00,190.00,male,yes,low,yes,66.00,78.00
69.00,155.00,male,no,medium,yes,64.00,80.00
73.00,165.00,male,no,low,yes,74.00,84.00
72.00,150.00,male,no,high,yes,84.00,84.00
74.00,190.00,male,no,medium,yes,68.00,72.00
72.00,195.00,male,no,medium,yes,62.00,75.00
71.00,138.00,male,no,medium,yes,76.00,118.00
74.00,160.00,male,yes,low,yes,90.00,94.00
72.00,155.00,male,no,medium,yes,80.00,96.00
70.00,153.00,male,yes,high,yes,92.00,84.00
67.00,145.00,male,no,medium,yes,68.00,76.00
71.00,170.00,male,no,high,yes,60.00,76.00
72.00,175.00,male,no,high,yes,62.00,58.00
69.00,175.00,male,yes,medium,yes,66.00,82.00
73.00,170.00,male,yes,high,yes,70.00,72.00
74.00,180.00,male,yes,medium,yes,68.00,76.00
66.00,135.00,male,no,high,yes,72.00,80.00
71.00,170.00,male,no,medium,yes,70.00,106.00
70.00,157.00,male,no,medium,yes,74.00,76.00
70.00,130.00,male,no,medium,yes,66.00,102.00
75.00,185.00,male,yes,medium,yes,70.00,94.00
61.00,140.00,female,no,medium,yes,96.00,140.00
66.00,120.00,female,no,medium,yes,62.00,100.00
68.00,130.00,female,yes,medium,yes,78.00,104.00
68.00,138.00,female,no,medium,yes,82.00,100.00
63.00,121.00,female,yes,medium,yes,100.00,115.00
70.00,125.00,female,no,medium,yes,68.00,112.00
68.00,116.00,female,no,medium,yes,96.00,116.00
69.00,145.00,female,no,medium,yes,78.00,118.00
69.00,150.00,female,yes,medium,yes,88.00,110.00
62.75,112.00,female,yes,medium,yes,62.00,98.00
68.00,125.00,female,no,medium,yes,80.00,128.00
74.00,190.00,male,no,low,no,62.00,62.00
71.00,155.00,male,no,medium,no,60.00,62.00
69.00,170.00,male,yes,medium,no,72.00,74.00
70.00,155.00,male,no,medium,no,62.00,66.00
72.00,215.00,male,no,medium,no,76.00,76.00
67.00,150.00,male,yes,medium,no,68.00,66.00
69.00,145.00,male,yes,medium,no,54.00,56.00
73.00,155.00,male,no,high,no,74.00,70.00
73.00,155.00,male,no,medium,no,74.00,74.00
71.00,150.00,male,no,high,no,68.00,68.00
68.00,155.00,male,yes,high,no,72.00,74.00
69.50,150.00,male,no,high,no,68.00,64.00
73.00,180.00,male,yes,medium,no,82.00,84.00
75.00,160.00,male,no,high,no,64.00,62.00
66.00,135.00,male,no,high,no,58.00,58.00
69.00,160.00,male,no,medium,no,54.00,50.00
66.00,130.00,male,yes,medium,no,70.00,62.00
73.00,155.00,male,yes,medium,no,62.00,68.00
68.00,150.00,male,yes,low,no,48.00,54.00
74.00,148.00,male,no,high,no,76.00,76.00
73.50,155.00,male,no,medium,no,88.00,84.00
70.00,150.00,male,no,medium,no,70.00,70.00
67.00,140.00,male,yes,medium,no,90.00,88.00
72.00,180.00,male,no,high,no,78.00,76.00
75.00,190.00,male,yes,medium,no,70.00,66.00
68.00,145.00,male,no,low,no,90.00,90.00
69.00,150.00,male,yes,medium,no,92.00,94.00
71.50,164.00,male,yes,medium,no,60.00,70.00
71.00,140.00,male,no,medium,no,72.00,70.00
72.00,142.00,male,no,high,no,68.00,68.00
69.00,136.00,male,no,medium,no,84.00,84.00
67.00,123.00,male,no,medium,no,74.00,76.00
68.00,155.00,male,no,medium,no,68.00,66.00
66.00,130.00,female,no,medium,no,84.00,84.00
65.50,120.00,female,no,medium,no,61.00,70.00
66.00,130.00,female,no,high,no,64.00,60.00
62.00,131.00,female,yes,medium,no,94.00,92.00
62.00,120.00,female,no,medium,no,60.00,66.00
63.00,118.00,female,no,medium,no,72.00,70.00
67.00,125.00,female,no,medium,no,58.00,56.00
65.00,135.00,female,yes,medium,no,88.00,74.00
66.00,125.00,female,no,medium,no,66.00,72.00
65.00,118.00,female,no,low,no,84.00,80.00
65.00,122.00,female,no,high,no,62.00,66.00
65.00,115.00,female,no,medium,no,66.00,76.00
64.00,102.00,female,no,medium,no,80.00,74.00
67.00,115.00,female,no,medium,no,78.00,78.00
69.00,150.00,female,no,medium,no,68.00,68.00
68.00,110.00,female,no,medium,no,72.00,68.00
63.00,116.00,female,no,low,no,82.00,80.00
62.00,108.00,female,yes,high,no,76.00,76.00
63.00,95.00,female,no,high,no,87.00,84.00
64.00,125.00,female,yes,low,no,90.00,92.00
68.00,133.00,female,no,low,no,78.00,80.00
62.00,110.00,female,no,medium,no,68.00,68.00
67.00,150.00,female,no,high,no,86.00,84.00
61.75,108.00,female,no,medium,no,76.00,76.00
