country,cntrygrp,hdi,rankHdi,meanYrSchool,gni,life
Afghanistan,5,0.47,169,3.2,1904,60.9
Albania,1,0.72,95,9.3,9225,77.4
Algeria,6,0.72,93,7.6,12555,71
Andorra,1,0.83,37,10.4,40597,81.2
Angola,6,0.53,149,4.7,6323,51.9
Antigua and Barbuda,2,0.77,61,8.9,18800,76
Argentina,2,0.81,49,9.8,17297,76.3
Armenia,1,0.73,87,10.8,7952,74.6
Australia,3,0.93,2,12.8,41524,82.5
Austria,1,0.88,21,10.8,42930,81.1
Azerbaijan,5,0.75,76,11.2,15725,70.8
Bahamas,2,0.79,51,10.9,21414,75.2
Bahrain,4,0.82,44,9.4,32072,76.6
Bangladesh,5,0.56,142,5.1,2713,70.7
Barbados,2,0.78,59,9.4,13604,75.4
Belarus,1,0.79,53,11.5,16403,69.9
Belgium,1,0.88,21,10.9,39471,80.5
Belize,2,0.73,84,9.3,9364,73.9
Benin,6,0.48,165,3.2,1726,59.3
Bhutan,5,0.58,136,2.3,6775,68.3
Bolivia (Plurinational State of),2,0.67,113,9.2,5552,67.3
Bosnia and Herzegovina,5,0.73,86,8.3,9431,76.4
Botswana,6,0.68,109,8.8,14792,64.4
Brazil,2,0.74,79,7.2,14275,73.9
Brunei Darussalam,5,0.85,30,8.7,70883,78.5
Bulgaria,1,0.78,58,10.6,15402,73.5
Burkina Faso,6,0.39,181,1.3,1602,56.3
Burundi,6,0.39,180,2.7,749,54.1
Cambodia,5,0.58,136,5.8,2805,71.9
Cameroon,6,0.5,152,5.9,2557,55.1
Canada,2,0.9,8,12.3,41887,81.5
Cape Verde,6,0.64,123,3.5,6365,75.1
Central African Republic,6,0.34,185,3.5,588,50.2
Chad,6,0.37,184,1.5,1622,51.2
Chile,2,0.82,41,9.8,20804,80
China,5,0.72,91,7.5,11477,75.3
Colombia,2,0.71,98,7.1,11527,74
Comoros,6,0.49,159,2.8,1505,60.9
Congo,6,0.56,140,6.1,4909,58.8
Congo (Democratic Republic of the),6,0.34,186,3.1,444,50
Costa Rica,2,0.76,68,8.4,13012,79.9
Côte d'Ivoire,6,0.45,171,4.3,2774,50.7
Croatia,1,0.81,47,11,19025,77
Cuba,2,0.82,44,10.2,19844,79.3
Cyprus,1,0.85,32,11.6,26771,79.8
Czech Republic,1,0.86,28,12.3,24535,77.7
Denmark,1,0.9,10,12.1,42880,79.4
Djibouti,6,0.47,170,3.8,3109,61.8
Dominica,2,0.72,93,7.7,9235,77.7
Dominican Republic,2,0.7,102,7.5,10844,73.4
Ecuador,2,0.71,98,7.6,9998,76.5
Egypt,6,0.68,110,6.4,10400,71.2
El Salvador,2,0.66,115,6.5,7240,72.6
Equatorial Guinea,6,0.56,144,5.4,21972,53.1
